=== Elevator Baseline Simulation Summary ===
Total Time: 16289.57 s
Total Energy: 17752843.95 J
Total Objective Cost: 34042.41

Elevator 1 Queue:
  Req#97: 1 → 3, load=144.5kg
  Req#101: 1 → 4, load=140.6kg
  Req#105: 1 → 13, load=99.4kg
  Req#114: 1 → 13, load=90.3kg
  Req#119: 1 → 3, load=93.4kg
  Req#129: 1 → 5, load=77.9kg
  Req#135: 1 → 15, load=65.2kg
  Req#140: 1 → 13, load=103.6kg
  Req#143: 1 → 14, load=141.8kg
  Req#151: 1 → 12, load=135.2kg
  Req#157: 1 → 7, load=117.6kg
  Req#165: 1 → 6, load=120.5kg
  Req#168: 1 → 5, load=83.8kg
  Req#169: 1 → 15, load=85.1kg
  Req#174: 1 → 8, load=133.6kg
  Req#176: 1 → 3, load=118.2kg
  Req#180: 1 → 8, load=79.0kg
  Req#185: 1 → 6, load=94.2kg
  Req#193: 1 → 5, load=140.0kg
  Req#197: 1 → 6, load=63.0kg
  Req#202: 1 → 11, load=132.9kg
  Req#203: 1 → 4, load=103.7kg
  Req#209: 1 → 15, load=61.1kg
  Req#218: 1 → 15, load=108.2kg
  Req#225: 15 → 1, load=62.9kg
  Req#227: 1 → 4, load=106.9kg
  Req#233: 1 → 10, load=138.8kg
  Req#244: 1 → 10, load=88.8kg
  Req#192: 13 → 1, load=86.8kg
  Req#137: 1 → 13, load=128.7kg
  Req#99: 1 → 5, load=108.8kg
  Req#92: 1 → 2, load=92.2kg
  Req#211: 1 → 6, load=106.2kg
  Req#121: 1 → 4, load=71.5kg
  Req#167: 1 → 2, load=133.3kg
  Req#26: 1 → 3, load=124.6kg
  Req#116: 1 → 9, load=149.5kg
  Req#144: 1 → 14, load=135.7kg
  Req#142: 1 → 3, load=99.2kg
  Req#17: 1 → 14, load=125.6kg
  Req#68: 1 → 13, load=103.8kg
  Req#162: 1 → 4, load=73.5kg
  Req#4: 1 → 14, load=145.6kg
  Req#62: 1 → 8, load=142.2kg
  Req#93: 1 → 7, load=93.7kg
  Req#24: 1 → 9, load=83.3kg
  Req#9: 1 → 2, load=135.5kg
  Req#228: 1 → 2, load=89.4kg
  Req#14: 1 → 14, load=88.8kg
  Req#81: 1 → 13, load=136.5kg
  Req#215: 1 → 3, load=62.4kg
  Req#75: 1 → 3, load=143.6kg
  Req#212: 1 → 11, load=138.9kg
  Req#131: 1 → 9, load=139.9kg
  Req#111: 1 → 12, load=82.5kg
  Req#128: 1 → 7, load=142.9kg
  Req#189: 1 → 5, load=137.2kg
  Req#27: 1 → 12, load=96.4kg
  Req#210: 1 → 15, load=86.2kg
  Req#149: 1 → 10, load=89.4kg
  Req#222: 1 → 6, load=86.8kg
  Req#109: 1 → 15, load=116.1kg
  Req#125: 1 → 15, load=144.2kg
  Req#85: 1 → 3, load=99.9kg
  Req#242: 1 → 5, load=138.4kg
  Req#145: 1 → 2, load=78.7kg
  Req#76: 1 → 2, load=140.4kg
  Req#38: 1 → 5, load=93.9kg
  Req#117: 1 → 4, load=68.3kg
  Req#154: 1 → 8, load=125.8kg
  Req#236: 1 → 9, load=84.8kg
  Req#12: 1 → 14, load=118.2kg
  Req#36: 1 → 4, load=100.4kg
  Req#89: 1 → 4, load=61.0kg
  Req#133: 1 → 2, load=86.1kg
  Req#130: 1 → 5, load=116.6kg
  Req#39: 1 → 4, load=93.9kg
  Req#106: 1 → 15, load=119.5kg
  Req#184: 1 → 6, load=71.0kg
  Req#126: 1 → 4, load=140.7kg
  Req#84: 1 → 11, load=76.1kg
  Req#95: 1 → 2, load=61.8kg
  Req#226: 1 → 15, load=90.7kg
  Req#2: 1 → 3, load=100.8kg
  Req#73: 1 → 12, load=92.1kg
  Req#47: 1 → 10, load=114.9kg
  Req#11: 1 → 12, load=144.0kg
  Req#69: 1 → 6, load=69.7kg
  Req#13: 1 → 7, load=107.6kg
  Req#41: 1 → 5, load=63.9kg
  Req#49: 1 → 13, load=133.8kg
  Req#59: 1 → 2, load=145.4kg
  Req#216: 1 → 4, load=87.3kg
  Req#191: 1 → 3, load=105.8kg
  Req#37: 1 → 5, load=60.6kg
  Req#61: 1 → 11, load=105.7kg
  Req#50: 1 → 12, load=123.0kg
  Req#52: 1 → 10, load=65.4kg
  Req#195: 1 → 4, load=104.3kg
  Req#172: 1 → 7, load=63.8kg
  Req#156: 1 → 7, load=150.0kg
  Req#108: 1 → 4, load=86.2kg
  Req#124: 11 → 1, load=147.4kg
  Req#90: 1 → 8, load=63.4kg
